                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.26149,                0.15924,                0.81025,                0.86167,                0.95738,                0.96855,                0.83613,                0.53767,                0.43685,                0.98062,               0.003961,               0.003961,               0.003961
                     63,                0.25709,                0.15683,                0.81024,                0.86697,                0.95665,                0.96925,                0.83649,                0.53637,                0.42621,                0.98147,               0.003862,               0.003862,               0.003862
                     64,                  0.254,                0.15629,                0.80974,                0.86691,                0.95646,                 0.9692,                0.83687,                0.53629,                0.42797,                0.98033,               0.003763,               0.003763,               0.003763
                     65,                0.25428,                0.15695,                0.80944,                0.87107,                0.95342,                0.96915,                0.83705,                 0.5387,                0.42892,                0.98185,               0.003664,               0.003664,               0.003664
                     66,                 0.2512,                0.15438,                0.80721,                  0.874,                0.95247,                0.96936,                 0.8376,                0.53858,                0.42946,                0.98369,               0.003565,               0.003565,               0.003565
                     67,                0.24837,                0.15197,                0.80712,                0.87648,                0.95298,                 0.9697,                 0.8381,                0.53872,                0.43979,                0.98434,               0.003466,               0.003466,               0.003466
                     68,                0.24647,                0.15338,                0.80726,                0.87304,                0.95328,                0.96917,                0.83788,                0.53668,                0.43623,                0.98281,               0.003367,               0.003367,               0.003367
                     69,                0.24396,                0.15209,                0.80714,                0.86842,                 0.9551,                0.96864,                0.83769,                0.54145,                0.45728,                0.98323,               0.003268,               0.003268,               0.003268
                     70,                0.24119,                0.14901,                0.80521,                0.86938,                0.95482,                  0.969,                 0.8381,                0.53583,                0.43814,                0.98137,               0.003169,               0.003169,               0.003169
                     71,                0.23932,                0.14879,                0.80512,                0.86999,                0.95496,                0.96926,                0.83875,                0.53391,                0.43793,                0.98119,                0.00307,                0.00307,                0.00307
                     72,                0.23766,                0.14621,                0.80597,                0.86942,                0.95503,                0.96942,                0.83913,                0.53378,                0.43771,                0.98199,               0.002971,               0.002971,               0.002971
                     73,                0.23391,                0.14497,                0.80447,                0.86918,                0.95489,                0.96945,                0.83904,                0.53373,                 0.4358,                 0.9822,               0.002872,               0.002872,               0.002872
                     74,                0.23457,                0.14325,                 0.8042,                0.86718,                0.95562,                0.96931,                 0.8387,                0.53322,                0.43642,                0.98223,               0.002773,               0.002773,               0.002773
                     75,                0.23002,                0.14161,                0.80429,                0.86698,                0.95599,                0.96937,                0.83876,                0.53317,                0.43872,                0.98244,               0.002674,               0.002674,               0.002674
                     76,                0.23108,                 0.1416,                0.80411,                 0.8684,                 0.9559,                0.96931,                0.83864,                0.53384,                0.43812,                0.98335,               0.002575,               0.002575,               0.002575
                     77,                 0.2273,                0.13904,                0.80306,                0.86558,                0.95672,                0.96924,                0.83901,                0.53317,                0.43758,                0.98357,               0.002476,               0.002476,               0.002476
                     78,                0.22682,                0.13979,                0.80336,                0.86581,                0.95672,                0.96933,                 0.8392,                0.53257,                0.43735,                0.98366,               0.002377,               0.002377,               0.002377
                     79,                0.22445,                 0.1377,                0.80161,                0.86544,                0.95701,                 0.9695,                 0.8392,                0.53263,                0.43815,                0.98397,               0.002278,               0.002278,               0.002278
                     80,                0.22273,                0.13612,                0.80242,                0.86233,                0.95736,                0.96956,                0.83929,                0.53328,                0.43955,                0.98404,               0.002179,               0.002179,               0.002179
                     81,                0.21878,                0.13424,                0.80008,                0.86382,                0.95687,                0.96976,                 0.8396,                0.53346,                0.43901,                 0.9842,                0.00208,                0.00208,                0.00208
                     82,                0.21688,                0.13297,                0.80149,                0.86313,                0.95736,                0.96981,                0.83968,                0.53306,                0.43695,                0.98428,               0.001981,               0.001981,               0.001981
                     83,                0.21727,                0.13326,                0.80051,                0.86296,                0.95862,                0.96994,                 0.8398,                 0.5327,                0.43655,                0.98401,               0.001882,               0.001882,               0.001882
                     84,                 0.2131,                0.13084,                0.79889,                0.86142,                0.95906,                0.96978,                0.83963,                0.53251,                0.43733,                 0.9836,               0.001783,               0.001783,               0.001783
                     85,                0.21059,                0.12992,                0.79962,                0.86048,                0.96009,                0.96989,                0.83978,                0.53258,                0.43856,                0.98357,               0.001684,               0.001684,               0.001684
                     86,                0.21001,                0.12866,                0.79947,                0.86079,                0.96031,                0.96998,                 0.8399,                0.53251,                0.43986,                 0.9837,               0.001585,               0.001585,               0.001585
